fecha,total,region: América Del Centro,region: América Del Norte,region: Europa,frontera: La Aurora,frontera: Valle Nuevo,frontera: San Cristóbal
2012-04-01,182891.2362626656,132244.41918745663,34347.81707520896,8251.0,74743.0,37925.92683973227,14321.41661976966
2012-05-01,152137.5120438028,105871.61299981305,32340.899043989753,6557.0,71823.0,31571.300830320248,8171.2062087074955
2012-06-01,173240.56422688224,112976.84376978572,46108.72045709654,6124.0,87683.0,35841.99524327122,8588.931034792991
2012-07-01,199340.37067282858,129027.92988085591,52488.44079197266,9777.0,96093.0,40239.64290308569,8587.082738209678
2012-08-01,170666.4032403826,119927.49277007497,34261.910470307645,9099.0,72094.0,39569.28528603381,10095.158279859923
2012-09-01,147847.52798648953,109162.6607248607,25049.86726162883,5878.0,65590.0,34117.79139282102,8677.35547549452
2012-10-01,167995.4374967636,122678.05912848748,30033.3783682761,7802.0,75312.0,36371.81930825689,16120.384733132234
2012-11-01,195400.06831855708,140790.30673513137,34753.761583425694,12078.0,87621.0,39519.41271287016,19402.10994344981
2012-12-01,238839.75250727762,169915.19576479474,50497.55674248289,10324.0,102147.0,40516.279174422685,22398.203310250927
2013-01-01,170858.696535424,114928.74041598607,36342.95611943795,10470.0,79816.0,14105.706132349587,17451.08785592601
2013-02-01,140163.89946159555,85722.28016658731,35378.61929500824,11147.0,68700.0,15284.71462988515,14387.069933539831
2013-03-01,217092.5553629627,146822.4160904498,50680.1392725129,10944.0,90702.0,41537.224350942975,21269.34641002026
2013-04-01,179526.03722270243,127787.30788467008,33933.729338032346,8564.0,72051.0,50082.63160884642,14087.453522884494
2013-05-01,179243.65691496403,130523.20483401864,33675.4520809454,6666.0,70872.0,58264.692596449844,8188.741537656777
2013-06-01,197164.99485562296,132740.34480074816,49276.65005487481,6918.0,89021.0,52402.7935228657,8595.164423710317
2013-07-01,211596.0172646677,137555.7589169652,54852.25834770249,10078.0,95070.0,56163.58820574229,8570.151194019738
2013-08-01,197150.9391696579,141829.5591873795,37092.379982278406,9376.0,77804.0,61237.24866642869,10262.737946200365
2013-09-01,163867.0618713466,124275.23640795665,24513.825463389963,6461.0,66442.0,51372.65713674664,8711.082870681143
2013-10-01,167624.46888297104,120207.06656201315,30397.4023209579,8507.0,79438.0,31368.131308491735,16342.97904561178
2013-11-01,202965.0230046185,145363.06099637237,34869.96200824615,12817.0,92265.0,41322.61287625236,19561.836408017574
2013-12-01,262449.4019393584,192030.9442146995,51340.45772465891,10265.0,112230.0,53904.48592416262,22600.987759331427
2014-01-01,219460.3466763904,155004.11886466408,41127.227811726334,12665.0,89922.0,46158.80039651266,18039.78835417185
